cat_num,format,parent_species,recordist,year,date_uploaded,asset_restricted,behaviors,age_sex,ml_collection_type,average_community_rating
231051,audio,Alauda arvensis,Bob McGuire,2017,1/30/2018,Public,Song,,archive,3.8
389232971,audio,Alauda arvensis,Richard Schofield,2021,11/19/2021,Public,,,,3.5
55575,audio,Alauda arvensis,William W. H. Gunn,1960,7/20/2016,Public,Song,,archive,3
349845631,audio,Alauda arvensis,Javier Prieta,2021,6/23/2021,Public,,,,0
314433241,audio,Alauda arvensis,Jordi Miralles Garcia,2021,3/7/2021,Public,,,,4
30208,audio,Alauda arvensis,William V. Ward,1967,7/20/2016,Public,Flying; Song,,archive,3
433413891,audio,Alauda arvensis,Hiromi Arima,2022,4/9/2022,Public,Song,Adult – 1,,0
203946621,audio,Alauda arvensis,Eric francois Roualet,2018,2/3/2020,Public,Song,,,4.5
305733661,audio,Alauda arvensis,Ray Tsu 诸 仁,2021,2/9/2021,Public,,,,2
399684011,audio,Alauda arvensis,David Roberts,2021,12/28/2021,Public,,,,0
257861201,audio,Alauda arvensis,Fernando T Rico,2020,8/25/2020,Public,,,,3.5
361892761,audio,Alauda arvensis,Isaac  West,2021,8/17/2021,Public,,,,1
435463261,audio,Alauda arvensis,Pedro Moreira,2022,4/14/2022,Public,,,,0
65508911,audio,Alauda arvensis,Nicholas Allen,2017,8/8/2017,Public,Call,,,3
331287071,audio,Alauda arvensis,Lorenzo Cocco,2021,4/28/2021,Public,Call; Flight Call; Flying,,,0
306387581,audio,Alauda arvensis,Eric francois Roualet,2020,2/11/2021,Public,,,,4
163717521,audio,Alauda arvensis,Thomas Brooks,2019,6/11/2019,Public,,,,2.5
563157841,audio,Alauda arvensis,Christoph Walorski,2023,4/26/2023,Public,,,,0
30203,audio,Alauda arvensis,Jean Ward,1962,7/20/2016,Public,Flying; Song,Adult Male – 1,archive,3
243266871,audio,Alauda arvensis,Anonymous,2020,6/14/2020,Public,,,,3
494282331,audio,Alauda arvensis,Ian Sherriffs,2022,10/16/2022,Public,,,,0
280152461,audio,Alauda arvensis,Jim Kirker,2020,11/14/2020,Public,Song,Adult Male – 1,,3.5
467081611,audio,Alauda arvensis,Javier Prieta,2022,7/13/2022,Public,Flight Song,,,3
558646171,audio,Alauda arvensis,David Darrell-Lambert,2022,4/16/2023,Public,,,,0
335380861,audio,Alauda arvensis,Fernando T Rico,2021,5/8/2021,Public,,,,2
586340031,audio,Alauda arvensis,Eric francois Roualet,2023,6/19/2023,Public,Flight Song; Song,Adult Male – 1,,0
380591641,audio,Alauda arvensis,Steve Thorpe,2021,10/18/2021,Public,,,,0
339850531,audio,Alauda arvensis,Fernando T Rico,2021,5/18/2021,Public,,,,3
122557561,audio,Alauda arvensis,Mark Lewis,2018,11/8/2018,Public,Call; Flight Call,,,2.5
600161081,audio,Alauda arvensis,Paweł Malczyk,2021,8/4/2023,Public,,,,0
519837061,audio,Alauda arvensis,志民 蘇,2023,1/3/2023,Public,,,,0
318886271,audio,Alauda arvensis,Eric francois Roualet,2021,3/22/2021,Public,,,,0
273257811,audio,Alauda arvensis,Mark Lewis,2020,10/21/2020,Public,Call; Flight Call; Flying,Unknown – 1,,3
550717911,audio,Alauda arvensis,Heather Chenery,2023,3/28/2023,Public,,,,0
422810321,audio,Alauda arvensis,Carl Hughes,2022,3/6/2022,Public,Song,,,4.5
552521461,audio,Alauda arvensis,kenneth lipshy,2023,4/2/2023,Public,,,,0
555346521,audio,Alauda arvensis,Dhruv Arora,2023,4/9/2023,Public,Flight Song; Flying; Song,Adult Male – 1,,4
530072651,audio,Alauda arvensis,Holger Schneider,2023,1/31/2023,Public,,,,2
157804821,audio,Alauda arvensis,Chris Monahan,2019,5/11/2019,Public,,,,2.67
602097161,audio,Alauda arvensis,Nathan Pieplow,2017,8/10/2023,Public,,,,4
602954011,audio,Alauda arvensis,Ricardo Rodríguez Llamazares,2023,8/13/2023,Public,,,,0
162205441,audio,Alauda arvensis,Brian Henderson,2017,6/1/2019,Public,Song,,,3.5
240264,audio,Alauda arvensis,Niels Krabbe,1983,12/17/2018,Public,Song,,archive,4
456370401,audio,Alauda arvensis,Anonymous,2022,6/4/2022,Public,Flight Song,,,4
231544391,audio,Alauda arvensis,Huw Lloyd,2020,5/7/2020,Public,,,,3
203950091,audio,Alauda arvensis,Josep del Hoyo,2009,2/3/2020,Public,Song,,,4.2
546554711,audio,Alauda arvensis,Carl Hughes,2023,3/17/2023,Public,,,,0
319404101,audio,Alauda arvensis,Antonio Ceballos Barbancho,2021,3/24/2021,Public,,,,3
46298501,audio,Alauda arvensis,Gregory Budney,2002,1/23/2017,Public,Call,Adult,,3
587311871,audio,Alauda arvensis,Peter Hinow,2023,6/22/2023,Public,,,,0
389529351,audio,Alauda arvensis,Radovan Václav,2021,11/20/2021,Public,Flight Call; Flying,Unknown – 1,,0
278663941,audio,Alauda arvensis,Pedro Moreira,2020,11/9/2020,Public,Flight Call; Flying,,,2
445152591,audio,Alauda arvensis,(Ai)Tao Liu,2020,5/7/2022,Public,Call; Flight Call; Flying,,,4
325127761,audio,Alauda arvensis,Jack Dhainaut,2021,4/11/2021,Public,,,,0
278928801,audio,Alauda arvensis,Fernando T Rico,2020,11/10/2020,Public,,Adult Male – 1,,3
492011761,audio,Alauda arvensis,Peter Alfrey,2022,10/9/2022,Public,,,,0
313706711,audio,Alauda arvensis,Fernando T Rico,2021,3/5/2021,Public,,,,3
383152771,audio,Alauda arvensis,A Emmerson,2021,10/27/2021,Public,Flight Song,Adult – 1,,3
418060821,audio,Alauda arvensis,Anonymous,2022,2/20/2022,Public,,Adult Male – 1,,3
506448151,audio,Alauda arvensis,Eric francois Roualet,2022,11/23/2022,Public,,,,0
284349021,audio,Alauda arvensis,Peter Boesman,2020,12/1/2020,Public,Call; Flight Call; Flying,,,2
222830751,audio,Alauda arvensis,Karthik Thrikkadeeri,2020,4/12/2020,Public,Song,,,1.5
448507951,audio,Alauda arvensis,春雄 太田,2022,5/14/2022,Public,,,,3
208829621,audio,Alauda arvensis,Iain Robson,2019,2/12/2020,Public,,,,2.25
355239871,audio,Alauda arvensis,Anonymous,2021,7/18/2021,Public,,,,0
218672,audio,Alauda arvensis,Tim Burr,1979,10/2/2018,Public,"Courtship, Display, or Copulation; Flying; Song",Adult Male – 1,archive,3
242354561,audio,Alauda arvensis,Jenny Suckert,2020,6/10/2020,Public,Song,,,3
230905,audio,Alauda arvensis,Bob McGuire,2017,10/23/2017,Public,Song,Adult – 1,archive,3.67
243268871,audio,Alauda arvensis,Anonymous,2020,6/14/2020,Public,,,,5
448826371,audio,Alauda arvensis,Anonymous,2022,5/15/2022,Public,Flight Song,Adult Male – 1,,3
562586801,audio,Alauda arvensis,James Churches,2023,4/25/2023,Public,,Unknown – 1,,0
602572701,audio,Alauda arvensis,Jason Vassallo,2023,8/11/2023,Public,,,,0
381671841,audio,Alauda arvensis,A Emmerson,2021,10/22/2021,Public,Flight Song,Adult – 1,,2
323526691,audio,Alauda arvensis,Miguel Rodríguez Esteban,2021,4/6/2021,Public,Flight Song; Flying; Song,,,4
454445191,audio,Alauda arvensis,Daniel Bonnici,2022,5/29/2022,Public,,,,0
357845281,audio,Alauda arvensis,A Emmerson,2021,7/30/2021,Public,Flight Song,Adult – 1,,3
173071561,audio,Alauda arvensis,Francisco Javier  Calvo lesmes,2019,8/18/2019,Public,,,,3
325123291,audio,Alauda arvensis,Gregorio Chaguaceda Tomás,2021,4/11/2021,Public,,,,0
334321571,audio,Alauda arvensis,Ricardo Melo,2021,5/5/2021,Public,,,,0
587869791,audio,Alauda arvensis,Dave Beeke,2023,6/24/2023,Public,,,,0
55577,audio,Alauda arvensis,William W. H. Gunn,1962,7/20/2016,Public,Song,,archive,2
577824221,audio,Alauda arvensis,Satoshi Kanazawa,2023,5/27/2023,Public,,,,0
556177501,audio,Alauda arvensis,Javier Prieta,2023,4/10/2023,Public,,,,2
415800141,audio,Alauda arvensis,Douglas Klein,2022,2/13/2022,Public,,,,0
564002391,audio,Alauda arvensis,Gabi Uhrova,2023,4/28/2023,Public,,,,0
549650051,audio,Alauda arvensis,Christian Goenner,2023,3/25/2023,Public,Flight Call,,,2
587843361,audio,Alauda arvensis,Edgar Joly,2023,6/24/2023,Public,Flight Song,Adult – 5,,4
203949201,audio,Alauda arvensis,Eric francois Roualet,2018,2/3/2020,Public,Song,,,4.14
30209,audio,Alauda arvensis,A. G. Field,1963,7/20/2016,Public,,,archive,3
250261771,audio,Alauda arvensis,Paolo Matteucci,2020,7/19/2020,Public,,,,5
218627741,audio,Alauda arvensis,Lynden Schofield,2020,3/27/2020,Public,,,,2
380601851,audio,Alauda arvensis,Christopher Brown,2021,10/18/2021,Public,,,,2
496960111,audio,Alauda arvensis,Eric francois Roualet,2022,10/24/2022,Public,Flight Call,Adult Male – 1,,0
482939541,audio,Alauda arvensis,Geoff Morgan,2022,9/10/2022,Public,,,,0
552493731,audio,Alauda arvensis,José Ardaiz Ganuza,2023,4/2/2023,Public,,Adult Male – 1,,0
218682,audio,Alauda arvensis,Tim Burr,1979,10/3/2018,Public,"Courtship, Display, or Copulation; Flying; Song",Adult Male – 1,archive,3
73181161,audio,Alauda arvensis,Nárgila Moura,2017,10/27/2017,Public,Flight Call,,,2
384336351,audio,Alauda arvensis,Jim Kirker,2021,11/1/2021,Public,Song,Adult Male – 1,,2
123846821,audio,Alauda arvensis,Jonah  Benningfield,2018,11/17/2018,Public,Call; Flight Call,,,3.18
386172741,audio,Alauda arvensis,John L. Muddeman,2021,11/7/2021,Public,Flight Call; Flying,Adult – 1,,3
390648781,audio,Anas platyrhynchos,Hunter Bohn,2021,11/24/2021,Public,,,,2.4
417673391,audio,Anas platyrhynchos,Jason Vassallo,2022,2/19/2022,Public,,,,2.4
519259631,audio,Anas platyrhynchos,Kent Kleman,2023,1/1/2023,Public,,,,3
595798271,audio,Anas platyrhynchos,Andrew W.,2023,7/20/2023,Public,,,,0
135335621,audio,Anas platyrhynchos,Robert Allie,2019,1/15/2019,Public,Call,Adult,,2
60503501,audio,Anas platyrhynchos,George Chiu,2017,6/7/2017,Public,,,,3.5
319219741,audio,Anas platyrhynchos,Aitor Zabala,2021,3/23/2021,Public,Flight Call; Flying,,,3.6
152568371,audio,Anas platyrhynchos,Richard Littauer,2019,4/21/2019,Public,Call,,,1.33
95435591,audio,Anas platyrhynchos,Lateefah Williams,2018,4/20/2018,Public,Call,,,3.33
135408681,audio,Anas platyrhynchos,johnny powell,2019,1/16/2019,Public,Call,Adult,,2.71
324826011,audio,Anas platyrhynchos,Andy B NFC Account,2021,4/10/2021,Public,Flight Call,,,2
149439601,audio,Anas platyrhynchos,Dan J. MacNeal,2019,4/6/2019,Public,Call,,,3.56
392601711,audio,Anas platyrhynchos,Ben Newhouse,2021,12/1/2021,Public,,,,3.5
