Polish name,Latin name,AERC category,Status in Poland,Protection in Poland,English name,Priority
ba¿ant,Phasianus colchicus,C,bardzo licznie lêgowy,³owny z okresem ochronnym,pheasant,0
brzegówka,Riparia riparia,A,bardzo licznie lêgowy,pod œcis³¹ ochron¹,peritoneum,1
czarnog³ówka,Poecile montanus,A,bardzo licznie lêgowy,pod œcis³¹ ochron¹,Willow tit,0
czubatka,Lophophanes cristatus,A,bardzo licznie lêgowy,pod œcis³¹ ochron¹,European crested tit,0
drozd œpiewak,Turdus philomelos,A,bardzo licznie lêgowy,pod œcis³¹ ochron¹,thrush singer,0
dziêcio³ du¿y,Dendrocopos major,A,bardzo licznie lêgowy,pod œcis³¹ ochron¹,Great spotted woodpecker,0
dzwoniec,Chloris chloris,A,bardzo licznie lêgowy,pod œcis³¹ ochron¹,Greenfinch,0
gajówka,Sylvia borin,A,bardzo licznie lêgowy,pod œcis³¹ ochron¹,Garden warbler,0
gawron,Corvus frugilegus,A,bardzo licznie lêgowy,"pod œcis³¹ ochron¹, osobniki w obszarze administracyjnym miast – ochrona czêœciowa",Rook,1
g¹siorek,Lanius collurio,A,bardzo licznie lêgowy,pod œcis³¹ ochron¹,Red-backed shrike,0
gêœ bia³oczelna,Anser albifrons,A,bardzo licznie przelotny i zimuj¹cy,³owny z okresem ochronnym,White-fronted goose,1
gêœ zbo¿owa,Anser fabalis,A,bardzo licznie przelotny i zimuj¹cy,³owny z okresem ochronnym,Bean goose,1
gil,Pyrrhula pyrrhula,A,bardzo licznie lêgowy,pod œcis³¹ ochron¹,g/l,0
go³¹b miejski,Columba livia forma urbana,C,bardzo licznie lêgowy,objêty ochron¹ czêœciow¹,Feral Pigeon,1
grubodziób,Coccothraustes coccothraustes,A,bardzo licznie lêgowy,pod œcis³¹ ochron¹,Hawfinch,0
grzywacz,Columba palumbus,A,bardzo licznie lêgowy,³owny z okresem ochronnym,billow,1
jer,Fringilla montifringilla,A,"bardzo licznie przelotny, nielicznie zimuj¹cy",pod œcis³¹ ochron¹,Brambling,0
jerzyk,Apus apus,A,bardzo licznie lêgowy,pod œcis³¹ ochron¹; wymaga ochrony czynnej,swift,1
kawka,Corvus monedula,A,bardzo licznie lêgowy,pod œcis³¹ ochron¹,Jackdaw,1
kowalik,Sitta europaea,A,bardzo licznie lêgowy,pod œcis³¹ ochron¹,KOWALIK,1
krzy¿ówka,Anas platyrhynchos,A,bardzo licznie lêgowy,³owny z okresem ochronnym,crossbreed,1
kuku³ka,Cuculus canorus,A,bardzo licznie lêgowy,pod œcis³¹ ochron¹,cuckoo,1
kulczyk,Serinus serinus,A,bardzo licznie lêgowy,pod œcis³¹ ochron¹,Serin,0
kwiczo³,Turdus pilaris,A,bardzo licznie lêgowy,pod œcis³¹ ochron¹,Fieldfare,0
³ozówka,Acrocephalus palustris,A,bardzo licznie lêgowy,pod œcis³¹ ochron¹,Marsh warbler,0
³yska,Fulica atra,A,bardzo licznie lêgowy,³owny z okresem ochronnym,Eurasian coot,1
makol¹gwa,Linaria cannabina,A,bardzo licznie lêgowy,pod œcis³¹ ochron¹,Common linnet,0
mazurek,Passer montanus,A,bardzo licznie/masowo lêgowy,pod œcis³¹ ochron¹,Eurasian Tree Sparrow,0
mewa œmieszka,Chroicocephalus ridibundus,A,bardzo licznie lêgowy,pod œcis³¹ ochron¹,Black-headed gull,1
modraszka,Cyanistes caeruleus,A,bardzo licznie lêgowy,pod œcis³¹ ochron¹,Blue Tit,1
mucho³ówka szara,Muscicapa striata,A,bardzo licznie lêgowy,pod œcis³¹ ochron¹,Spotted flycatcher,0
mucho³ówka ¿a³obna,Ficedula hypoleuca,A,bardzo licznie lêgowy,pod œcis³¹ ochron¹,mourning flycatcher,0
mysikrólik,Regulus regulus,A,bardzo licznie lêgowy,pod œcis³¹ ochron¹,Goldcrest,0
ogorza³ka,Aythya marila,A,"bardzo licznie zimuj¹cy i przelotny, sporadycznie lêgowy",pod œcis³¹ ochron¹,calendula,0
oknówka,Delichon urbicum,A,bardzo licznie lêgowy,pod œcis³¹ ochron¹,Common house martin,1
ortolan,Emberiza hortulana,A,bardzo licznie lêgowy,pod œcis³¹ ochron¹,ortolan,0
pe³zacz leœny,Certhia familiaris,A,bardzo licznie lêgowy,pod œcis³¹ ochron¹,Eurasian treecreeper,0
pieg¿a,Curruca curruca,A,bardzo licznie lêgowy,pod œcis³¹ ochron¹,Lesser whitethroat,0
pleszka,Phoenicurus phoenicurus,A,bardzo licznie lêgowy,pod œcis³¹ ochron¹,Common redstart,0
pliszka siwa,Motacilla alba,A,bardzo licznie lêgowy,pod œcis³¹ ochron¹,White wagtail,0
pliszka ¿ó³ta,Motacilla flava,A,bardzo licznie lêgowy,pod œcis³¹ ochron¹,Yellow Wagtail,0
p³ochacz pokrzywnica,Prunella modularis,A,bardzo licznie lêgowy,pod œcis³¹ ochron¹,Dunnock,0
pokl¹skwa,Saxicola rubetra,A,bardzo licznie lêgowy,pod œcis³¹ ochron¹,Whinchat,0
potrzeszcz,Emberiza calandra,A,bardzo licznie lêgowy,pod œcis³¹ ochron¹,Corn bunting,0
potrzos,Schoeniclus schoeniclus,A,bardzo licznie lêgowy,pod œcis³¹ ochron¹,shake,0
sierpówka,Streptopelia decaocto,A,bardzo licznie lêgowy,pod œcis³¹ ochron¹,Eurasian Collared Dove,0
sikora uboga,Poecile palustris,A,bardzo licznie lêgowy,pod œcis³¹ ochron¹,Marsh tit,0
skowronek,Alauda arvensis,A,bardzo licznie lêgowy,pod œcis³¹ ochron¹,Skylark,1
s³owik rdzawy,Luscinia megarhynchos,A,bardzo licznie lêgowy,pod œcis³¹ ochron¹,Nightingale,1
s³owik szary,Luscinia luscinia,A,bardzo licznie lêgowy,pod œcis³¹ ochron¹,Thrush nightingale,1
sosnówka,Periparus ater,A,bardzo licznie lêgowy,pod œcis³¹ ochron¹,Coal tit,0
sójka,Garrulus glandarius,A,bardzo licznie lêgowy,pod œcis³¹ ochron¹,Eurasian jay,1
